candles,code,message,s
"[1736148900, 23748, 23754.05, 23728, 23733.7, 0]",200,,ok
"[1736149200, 23732.55, 23740.7, 23704.35, 23714.7, 0]",200,,ok
"[1736149500, 23714.6, 23714.6, 23679.5, 23682.55, 0]",200,,ok
"[1736149800, 23683.75, 23691.2, 23661.9, 23664.25, 0]",200,,ok
"[1736150100, 23665.5, 23680.25, 23662.15, 23669.7, 0]",200,,ok
"[1736150400, 23672.1, 23672.1, 23619.15, 23643.55, 0]",200,,ok
"[1736150700, 23645.15, 23675.35, 23645.15, 23667.85, 0]",200,,ok
"[1736151000, 23667.95, 23676.65, 23640.9, 23648.75, 0]",200,,ok
"[1736151300, 23648.9, 23661.15, 23633.75, 23633.75, 0]",200,,ok
"[1736151600, 23635.15, 23636.85, 23604.2, 23605.35, 0]",200,,ok
"[1736151900, 23606.15, 23639, 23602.6, 23632.2, 0]",200,,ok
"[1736152200, 23633.75, 23651, 23626.2, 23641.05, 0]",200,,ok
"[1736152500, 23642.9, 23665.2, 23634.2, 23662, 0]",200,,ok
"[1736152800, 23663.35, 23665.95, 23620.4, 23623.85, 0]",200,,ok
"[1736153100, 23624.4, 23660.1, 23618.2, 23651.05, 0]",200,,ok
"[1736153400, 23650.7, 23660.2, 23636.5, 23638.85, 0]",200,,ok
"[1736153700, 23639.4, 23640.75, 23613.05, 23614.65, 0]",200,,ok
"[1736154000, 23615.15, 23620.35, 23588.15, 23593.85, 0]",200,,ok
"[1736154300, 23595, 23601.9, 23562.6, 23565.2, 0]",200,,ok
"[1736154600, 23565.4, 23585.85, 23551.9, 23573.3, 0]",200,,ok
"[1736154900, 23574.7, 23610.7, 23572.35, 23605.1, 0]",200,,ok
"[1736155200, 23606.1, 23631.6, 23599.55, 23628, 0]",200,,ok
"[1736155500, 23628.6, 23644.05, 23612.15, 23643.05, 0]",200,,ok
"[1736155800, 23644.2, 23653.8, 23625.9, 23626.65, 0]",200,,ok
"[1736156100, 23628.15, 23641.95, 23617.95, 23641.45, 0]",200,,ok
"[1736156400, 23642.55, 23648, 23580.85, 23585.6, 0]",200,,ok
"[1736156700, 23587.15, 23600, 23580.15, 23599.45, 0]",200,,ok
"[1736157000, 23600.6, 23623.9, 23599.5, 23619.45, 0]",200,,ok
"[1736157300, 23619.75, 23636.95, 23618.5, 23629.6, 0]",200,,ok
"[1736221500, 23679.9, 23774.15, 23679.85, 23754, 0]",200,,ok
"[1736221800, 23754.6, 23769.8, 23718.8, 23764, 0]",200,,ok
"[1736222100, 23765.1, 23776.25, 23722, 23756.65, 0]",200,,ok
"[1736222400, 23761, 23780.25, 23739.7, 23775.95, 0]",200,,ok
"[1736222700, 23775.6, 23784.35, 23764.1, 23780, 0]",200,,ok
"[1736223000, 23781.4, 23795.2, 23779.75, 23783.5, 0]",200,,ok
"[1736223300, 23783.25, 23784.45, 23669.7, 23675.65, 0]",200,,ok
"[1736223600, 23674.55, 23701.8, 23664, 23687.05, 0]",200,,ok
"[1736223900, 23687.45, 23701.25, 23663.3, 23678.75, 0]",200,,ok
"[1736224200, 23678.5, 23700.8, 23648, 23650.2, 0]",200,,ok
"[1736224500, 23650.8, 23671.45, 23638, 23638, 0]",200,,ok
"[1736224800, 23639, 23745.9, 23637.8, 23745.9, 0]",200,,ok
"[1736225100, 23749.4, 23768.05, 23721.4, 23737.6, 0]",200,,ok
"[1736225400, 23737.65, 23744.45, 23717.5, 23727.2, 0]",200,,ok
"[1736225700, 23727.4, 23759.75, 23725.6, 23758.85, 0]",200,,ok
"[1736226000, 23758.9, 23760.85, 23736.65, 23740.45, 0]",200,,ok
"[1736226300, 23740.8, 23755.2, 23725.2, 23725.2, 0]",200,,ok
"[1736226600, 23725.35, 23742.9, 23723.55, 23742.45, 0]",200,,ok
"[1736226900, 23742.65, 23766.8, 23739.1, 23754.6, 0]",200,,ok
"[1736227200, 23754.45, 23756.55, 23708.1, 23710.6, 0]",200,,ok
"[1736227500, 23711.45, 23726.05, 23708.7, 23724.85, 0]",200,,ok
"[1736227800, 23725.4, 23747.35, 23725.4, 23743.4, 0]",200,,ok
"[1736228100, 23742.45, 23749.85, 23715.95, 23719.4, 0]",200,,ok
"[1736228400, 23719.05, 23731.65, 23713.15, 23731.65, 0]",200,,ok
"[1736228700, 23731.85, 23737.35, 23718.05, 23735.85, 0]",200,,ok
"[1736229000, 23735.7, 23745.15, 23725.8, 23741.2, 0]",200,,ok
"[1736229300, 23740.65, 23756.9, 23738.25, 23748.85, 0]",200,,ok
"[1736229600, 23749, 23770.5, 23740.55, 23760.35, 0]",200,,ok
